"NOM";"Matieres.grasses";"Glucides";"Fibres.alimentaires";"Proteines";"Sel";"Poids.100ml"
"Noix de coco râpée (Vahiné)";65;7,4;0;6,9;0,09;30
"Nutella maison (1pot=389g)";28;34;34;9;0,03;100
"Œuf (1=50g)";10,3;0,7;0;12,3;0;100
"Oeuf frais plein air (Oeufs de nos régions 1=50g)";9,9;0,7;0,5;12,3;0,32;100
"Oignon (1=100g)";0,585;7,37;2,46;1,42;0,039;120
"Olives vertes réduites en sel (Tramier)";18;0,7;0,5;1,2;2,6;100
"Orange (1=200g)";0,36;7,92;2,2;1,1;0;100
"Organic peanut butter Original (Body&Fit)";49,2;7,6;8,5;25,8;0,05;100
"Pain oopsie (1=57g)";20,4;1,3;0,3;10;0,2;100
"Pain poudre amande et psyllium (1=640g, 1tranche = 50g)";26;4;3;14;1;100
"Pain Tasty (1=660g)";32;4;20;14;0,8;100
"Pamplemousse (1=400g)";0,1;8,5;0,3;0,62;0,0026;100
"Pancake (1=45g)";10,3;1,6;0,7;4,4;0,08;100
"Parmigiano Reggiano Râpé (Les croisés)";30;0;0;32;1,6;45
"Patate douce (1=80g)";0,15;12,2;2,9;1,69;0;100
"Pâte gouter perigourdin (Lou Peyrol 1=150g)";35;2,5;0;12;2,1;100
"Pesto au basilic maison (1 pot = 374g)";12;4;2;6;0,26;120
"Pesto con Basilico Genovese Dop (Tradizioni d'Italia)";46,5;2,9;2,3;7;2,3;100
"Poireau (1=150g)";0,28;3,35;2,46;2,08;0,112;230
"Poitrine fines tranches (Tradilège 1=14g)";25;0,5;0;15,2;2,2;100
"Poivron rouge (1=70g)";0,3;7;2,2;1,21;0;100
"Poivron vert (1=70g)";0,2;2,26;1,2;0,93;0;100
"Pomme (1=150g)";0,25;11,6;1,4;0,25;0;100
"Pomme de terre (1=80g)";0,34;16,7;1,8;1,8;0;100
"Poudre amande (Couleurs vives)";56;11;7,9;25;0,01;36
"Poudre amande (SUN)";56;11;7,9;25;0;40
"Psyllium Blond Bio (Téguments)";0,6;0,2;0;0,9;0;35
"Pulpe de tomate (Del monte)";0;3;0,8;1,1;0,13;94
"Purée délice HV, C, E, P, C (Bonduelle 5=150g)";2,1;3,8;3,2;2,2;0,64;100
"Radis noir (1=600g)";0,1;0,6;1,9;2,8;0,009;100
"Radis rouge (1=10g)";0,1;1,77;1,1;0,76;0,022;100
"Rhubarbe (1=80g)";0,1;1;0;0,6;0;100
"Ricotta (les Croisés)";11;6;0;8;0,2;100
"Rillettes de poulet roti en cococtte (Tradilèges)";31;0,1;0;17;1;100
"Rumsteack Viande bovine";2;0;0;25;0;100
"Sauce barbecue (Rustica) ";0,9;31;0,6;0,7;1,5;100
"Sauce soja (Tables du monde)";0,5;3,2;0,6;6;14;100
"Saucisse sèche (Marque repère 1=250g)";35;1,1;0;30;5;100
"Sel";0;0;0;0;100;120
"Sésame ";56,4;9,28;7,9;17,7;2,31;70
"Steack haché 100% Pur boeuf 15% (Chantegril 1=100g)";15;0;0;19;0,17;100
"Stévia (Pure via)";0,2;99;0;0;0,01;50
"Stévia drops (N!ck's)";0;0;0;0;0;100
"Sucre de coco non raffiné (Comptoirs & compagnies)";0,5;94,6;0;1,1;0,172;50
"Tabasco (Mc,Ilhenny co,)";0,6;1,5;0;0,9;1,8;100
"Tomacouli aux tomates Fraiches Basilic (Panzani)";0,1;4,5;1,6;1,2;0,05;105
"Tomate (1=150g)";0,26;2,26;1,2;0,86;0;90
"Tomate ketchup (Rustica) ";0,5;25;1,3;0,8;2,5;100
"Tomato ketchup 5% moins de sucres (Heinz)";0,1;12;0;1,4;0,9;109
"Vanille poudre Vahiné";0,01;26;0;6;0;100
"Vinaigrette Huile d'olive citron (Rustica)";25;3;0,5;0,5;1,8;100
"Xylitol (nu3)";0;100;99;0;0;100
"Yaourt à la grecque (Délisse 1=150g)";10;2,8;0;3,2;0,13;83
"Yellow mustard Spicy (Heinz)";5,1;9,4;5,3;5,3;3;107
"Erythritol (NKD Living)";0;0;0;0;0;0
"Lait noisette (Nat&Vie)";2;3,1;0,5;0,5;0,13;100
